"team" "year1" "year1.wins" "year2" "year2.wins"
"STL" 2006 83 2007 78
"STL" 2005 100 2006 83
"STL" 2004 105 2005 100
"STL" 2003 85 2004 105
"STL" 2002 97 2003 85
"STL" 2001 93 2002 97
"STL" 2000 95 2001 93
"STL" 1999 75 2000 95
"STL" 1998 83 1999 75
"TBD" 2014 77 2015 80
"TBD" 2013 92 2014 77
"TBD" 2012 90 2013 92
"TBD" 2011 91 2012 90
"TBD" 2010 96 2011 91
"TBD" 2009 84 2010 96
"TBD" 2008 97 2009 84
"TBD" 2007 66 2008 97
"TBD" 2006 61 2007 66
"TBD" 2005 67 2006 61
"TBD" 2004 70 2005 67
"TBD" 2003 63 2004 70
"TBD" 2002 55 2003 63
"TBD" 2001 62 2002 55
"TBD" 2000 69 2001 62
"TBD" 1999 69 2000 69
"TBD" 1998 63 1999 69
"TEX" 2014 67 2015 88
"TEX" 2013 91 2014 67
"TEX" 2012 93 2013 91
"TEX" 2011 96 2012 93
"TEX" 2010 90 2011 96
"TEX" 2009 87 2010 90
"TEX" 2008 79 2009 87
"TEX" 2007 75 2008 79
"TEX" 2006 80 2007 75
"TEX" 2005 79 2006 80
"TEX" 2004 89 2005 79
"TEX" 2003 71 2004 89
"TEX" 2002 72 2003 71
"TEX" 2001 73 2002 72
"TEX" 2000 71 2001 73
"TEX" 1999 95 2000 71
"TEX" 1998 88 1999 95
"TOR" 2014 83 2015 93
"TOR" 2013 74 2014 83
"TOR" 2012 73 2013 74
"TOR" 2011 81 2012 73
"TOR" 2010 85 2011 81
"TOR" 2009 75 2010 85
"TOR" 2008 86 2009 75
"TOR" 2007 83 2008 86
"TOR" 2006 87 2007 83
"TOR" 2005 80 2006 87
"TOR" 2004 67 2005 80
"TOR" 2003 86 2004 67
"TOR" 2002 78 2003 86
"TOR" 2001 80 2002 78
"TOR" 2000 83 2001 80
"TOR" 1999 84 2000 83
"TOR" 1998 88 1999 84
"WSN" 2014 96 2015 83
"WSN" 2013 86 2014 96
"WSN" 2012 98 2013 86
"WSN" 2011 80 2012 98
"WSN" 2010 69 2011 80
"WSN" 2009 59 2010 69
"WSN" 2008 59 2009 59
"WSN" 2007 73 2008 59
"WSN" 2006 71 2007 73
"WSN" 2005 81 2006 71
"WSN" 2004 67 2005 81
"WSN" 2003 83 2004 67
"WSN" 2002 83 2003 83
"WSN" 2001 68 2002 83
"WSN" 2000 67 2001 68
"WSN" 1999 68 2000 67
"WSN" 1998 65 1999 68
